#STIG ID,Legacy Group ID,Legacy Rule ID,Old Rule ID,New Group ID,New Rule ID
WN19-EP-000230,V-93355,SV-103443,SV-103443r1_rule,V-205899,SV-205899r569188_rule
WN19-EP-000240,V-93357,SV-103445,SV-103445r1_rule,V-205900,SV-205900r569188_rule
WN19-EP-000250,V-93359,SV-103447,SV-103447r1_rule,V-205901,SV-205901r569188_rule
WN19-EP-000260,V-93361,SV-103449,SV-103449r1_rule,V-205902,SV-205902r569188_rule
WN19-EP-000270,V-93363,SV-103451,SV-103451r1_rule,V-205903,SV-205903r569188_rule
WN19-EP-000280,V-93365,SV-103453,SV-103453r1_rule,V-205904,SV-205904r569188_rule
WN19-EP-000290,V-93367,SV-103455,SV-103455r1_rule,V-205905,SV-205905r569188_rule
WN19-MS-000010,V-93043,SV-103131,SV-103131r1_rule,V-205746,SV-205746r569188_rule
WN19-MS-000020,V-93519,SV-103605,SV-103605r1_rule,V-205715,SV-205715r569188_rule
WN19-MS-000030,V-93419,SV-103505,SV-103505r1_rule,V-205696,SV-205696r569188_rule
WN19-MS-000040,V-93453,SV-103539,SV-103539r1_rule,V-205814,SV-205814r569188_rule
WN19-MS-000050,V-93275,SV-103363,SV-103363r1_rule,V-205906,SV-205906r569188_rule
WN19-MS-000060,V-93045,SV-103133,SV-103133r1_rule,V-205747,SV-205747r569188_rule
WN19-MS-000070,V-93007,SV-103095,SV-103095r1_rule,V-205671,SV-205671r569188_rule
WN19-MS-000080,V-93009,SV-103097,SV-103097r1_rule,V-205672,SV-205672r569188_rule
WN19-MS-000090,V-93011,SV-103099,SV-103099r1_rule,V-205673,SV-205673r569188_rule
WN19-MS-000100,V-93013,SV-103101,SV-103101r1_rule,V-205674,SV-205674r569188_rule
WN19-MS-000110,V-93015,SV-103103,SV-103103r1_rule,V-205675,SV-205675r569188_rule
WN19-MS-000120,V-92965,SV-103053,SV-103053r1_rule,V-205733,SV-205733r569188_rule
WN19-MS-000130,V-93047,SV-103135,SV-103135r1_rule,V-205748,SV-205748r569188_rule
WN19-MS-000140,V-93277,SV-103365,SV-103365r1_rule,V-205907,SV-205907r569188_rule
WN19-PK-000010,V-93487,SV-103573,SV-103573r1_rule,V-205648,SV-205648r569280_rule
